"SIDO_NM","SGG_NM","HADM_CD","ATRCTN_CNT","RSTRT_CNT","SHOPNG_CNT","RESIDNT_CNT_SUM","FILE_NAME","BASE_YMD"
"강원도","철원군","4278032000","8.00000","28.00000","9.00000","44706.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","철원군","4278034000","1.00000",,,"44706.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","춘천시","4211025000","13.00000","171.00000","23.00000","282544.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","춘천시","4211031000","6.00000","302.00000","15.00000","282544.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","춘천시","4211032000","10.00000","35.00000","3.00000","282544.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","춘천시","4211033000","15.00000","81.00000","7.00000","282544.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","춘천시","4211034000","9.00000","22.00000",,"282544.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","춘천시","4211035000","33.00000","151.00000","13.00000","282544.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","춘천시","4211036000","17.00000","56.00000","11.00000","282544.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","춘천시","4211038000","17.00000","18.00000","3.00000","282544.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","춘천시","4211039000","14.00000","377.00000","16.00000","282544.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","춘천시","4211040000","22.00000","214.00000","23.00000","282544.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","춘천시","4211052000","1.00000","93.00000","12.00000","282544.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
"강원도","춘천시","4211053000","1.00000","153.00000","19.00000","282544.00000","KC_619_DMSTC_TRV_CNSMP_STATN_BIZAEA_MAP_2020","20210216"
